# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.4243539959     -881.6886477380
        3.2243539959     -881.6881994420
        3.0243539959     -881.6867261280
        2.8243539959     -881.6839717860
        2.6243539959     -881.6798370910
        2.4243539959     -881.6735570570
        2.2243539959     -881.6653335430
        2.0243539959     -881.6558966740
        1.8243539959     -881.6778353410
        1.6243539959     -881.6824784380
        1.4243539959     -881.6653220820
