# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.4825971871     -881.6941736770
        3.2825971871     -881.6938159360
        3.0825971871     -881.6924888590
        2.8825971871     -881.6911040440
        2.6825971871     -881.6874202010
        2.4825971871     -881.6815558700
        2.2825971871     -881.6735094390
        2.0825971871     -881.6640284320
        1.8825971871     -881.6553168320
        1.6825971871     -881.6208126560
        1.4825971871     -881.6903643270
