# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.4587721385     -881.6938735990
        3.2587721385     -881.6934246220
        3.0587721385     -881.6919587770
        2.8587721385     -881.6892629620
        2.6587721385     -881.6859400390
        2.4587721385     -881.6798336980
        2.2587721385     -881.6716040970
        2.0587721385     -881.6618351690
        1.8587721385     -881.6796604200
        1.6587721385     -881.6920479940
        1.4587721385     -881.6857281580
