# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.2142319910     -881.6595025950
        3.0142319910     -881.6590016830
        2.8142319910     -881.6578734250
        2.6142319910     -881.6554457700
        2.4142319910     -881.6512261860
        2.2142319910     -881.6823274500
        2.0142319910     -881.6940806790
        1.8142319910     -881.7066696580
        1.6142319910     -881.7141914820
        1.4142319910     -881.6979520030
        1.2142319910     -881.5415990750
