3.4926673774 2.1045 -881.6942019440
3.2926673774 2.1045 -881.6938736300
3.0926673774 2.1045 -881.6937510100
2.8926673774 2.1045 -881.6918312350
2.6926673774 2.1045 -881.6882515690
2.4926673774 2.1045 -881.6824855310
2.2926673774 2.1045 -881.6745141430
2.0926673774 2.1045 -881.6650820770
1.8926673774 2.1045 -881.6563253010
1.6926673774 2.1045 -881.6499719350
1.4926673774 2.1045 -881.6891450420

3.4825971871 1.9945 -881.6941736770
3.2825971871 1.9945 -881.6938159360
3.0825971871 1.9945 -881.6924888590
2.8825971871 1.9945 -881.6911040440
2.6825971871 1.9945 -881.6874202010
2.4825971871 1.9945 -881.6815558700
2.2825971871 1.9945 -881.6735094390
2.0825971871 1.9945 -881.6640284320
1.8825971871 1.9945 -881.6553168320
1.6825971871 1.9945 -881.6208126560
1.4825971871 1.9945 -881.6903643270

3.4587721385 1.8845 -881.6938735990
3.2587721385 1.8845 -881.6934246220
3.0587721385 1.8845 -881.6919587770
2.8587721385 1.8845 -881.6892629620
2.6587721385 1.8845 -881.6859400390
2.4587721385 1.8845 -881.6798336980
2.2587721385 1.8845 -881.6716040970
2.0587721385 1.8845 -881.6618351690
1.8587721385 1.8845 -881.6796604200
1.6587721385 1.8845 -881.6920479940
1.4587721385 1.8845 -881.6857281580

3.4496896256 1.7745 -881.6930610560
3.2496896256 1.7745 -881.6925929590
3.0496896256 1.7745 -881.6911155100
2.8496896256 1.7745 -881.6883585820
2.6496896256 1.7745 -881.6842055690
2.4496896256 1.7745 -881.6778471790
2.2496896256 1.7745 -881.6694667430
2.0496896256 1.7745 -881.6603536700
1.8496896256 1.7745 -881.6519998760
1.6496896256 1.7745 -881.6901664180
1.4496896256 1.7745 -881.6824024570

3.4388348951 1.6645 -881.6914297150
3.2388348951 1.6645 -881.6909709610
3.0388348951 1.6645 -881.6882257510
2.8388348951 1.6645 -881.6867294610
2.6388348951 1.6645 -881.6825761530
2.4388348951 1.6645 -881.6762449420
2.2388348951 1.6645 -881.6679246860
2.0388348951 1.6645 -881.6582894490
1.8388348951 1.6645 -881.6735208060
1.6388348951 1.6645 -881.6784655860
1.4388348951 1.6645 -881.6636003710

3.4243539959 1.5545 -881.6886477380
3.2243539959 1.5545 -881.6881994420
3.0243539959 1.5545 -881.6867261280
2.8243539959 1.5545 -881.6839717860
2.6243539959 1.5545 -881.6798370910
2.4243539959 1.5545 -881.6735570570
2.2243539959 1.5545 -881.6653335430
2.0243539959 1.5545 -881.6558966740
1.8243539959 1.5545 -881.6778353410
1.6243539959 1.5545 -881.6824784380
1.4243539959 1.5545 -881.6653220820

3.4068487703 1.4445 -881.6842675550
3.2068487703 1.4445 -881.6838354900
3.0068487703 1.4445 -881.6823667960
2.8068487703 1.4445 -881.6794444590
2.6068487703 1.4445 -881.6755865060
2.4068487703 1.4445 -881.6694085600
2.2068487703 1.4445 -881.6613608530

3.3771421927 1.3345 -881.6777284560
3.1771421927 1.3345 -881.6772865100
2.9771421927 1.3345 -881.6758000910
2.7771421927 1.3345 -881.6728404150
2.5771421927 1.3345 -881.6691605530
2.3771421927 1.3345 -881.6630869340
2.1771421927 1.3345 -881.6553803870
1.9771421927 1.3345 -881.6793890610
1.7771421927 1.3345 -881.6896097500
1.5771421927 1.3345 -881.6926095670
1.3771421927 1.3345 -881.6662842060

3.3161858370 1.2245 -881.6634178510
3.1161858370 1.2245 -881.6683497910
2.9161858370 1.2245 -881.6668003800
2.7161858370 1.2245 -881.6636608460
2.5161858370 1.2245 -881.6602854170
2.3161858370 1.2245 -881.6543004360
2.1161858370 1.2245 -881.6787670550
1.9161858370 1.2245 -881.6899779570
1.7161858370 1.2245 -881.7003872200
1.5161858370 1.2245 -881.6987986970
1.3161858370 1.2245 -881.6557452700

3.2142319910 1.1145 -881.6595025950
3.0142319910 1.1145 -881.6590016830
2.8142319910 1.1145 -881.6578734250
2.6142319910 1.1145 -881.6554457700
2.4142319910 1.1145 -881.6512261860
2.2142319910 1.1145 -881.6823274500
2.0142319910 1.1145 -881.6940806790
1.8142319910 1.1145 -881.7066696580
1.6142319910 1.1145 -881.7141914820
1.4142319910 1.1145 -881.6979520030
1.2142319910 1.1145 -881.5415990750

