# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.3771421927     -881.6777284560
        3.1771421927     -881.6772865100
        2.9771421927     -881.6758000910
        2.7771421927     -881.6728404150
        2.5771421927     -881.6691605530
        2.3771421927     -881.6630869340
        2.1771421927     -881.6553803870
        1.9771421927     -881.6793890610
        1.7771421927     -881.6896097500
        1.5771421927     -881.6926095670
        1.3771421927     -881.6662842060
