# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.3161858370     -881.6634178510
        3.1161858370     -881.6683497910
        2.9161858370     -881.6668003800
        2.7161858370     -881.6636608460
        2.5161858370     -881.6602854170
        2.3161858370     -881.6543004360
        2.1161858370     -881.6787670550
        1.9161858370     -881.6899779570
        1.7161858370     -881.7003872200
        1.5161858370     -881.6987986970
        1.3161858370     -881.6557452700
