# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.4926673774     -881.6942019440
        3.2926673774     -881.6938736300
        3.0926673774     -881.6937510100
        2.8926673774     -881.6918312350
        2.6926673774     -881.6882515690
        2.4926673774     -881.6824855310
        2.2926673774     -881.6745141430
        2.0926673774     -881.6650820770
        1.8926673774     -881.6563253010
        1.6926673774     -881.6499719350
        1.4926673774     -881.6891450420
