# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.4496896256     -881.6930610560
        3.2496896256     -881.6925929590
        3.0496896256     -881.6911155100
        2.8496896256     -881.6883585820
        2.6496896256     -881.6842055690
        2.4496896256     -881.6778471790
        2.2496896256     -881.6694667430
        2.0496896256     -881.6603536700
        1.8496896256     -881.6519998760
        1.6496896256     -881.6901664180
        1.4496896256     -881.6824024570
